Name,EmployeId,Gender,Age,MaritalStatus,EducationField,Qualifications,Vertical,Role,Work Experience,DistanceFromHome,Daily,Hour,Monthly,MonthlyRate,OverTime,Hours,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,TrainingTimesLastYear,Turnover,Travelling,Satisfaction,Engagement,JobLevel,Last Rating,SalaryHike,Work&Life
Josie,IDSL288,F,41,Married,Medical,2,Sales,Sales Representative,7,2,1298,49,2501,8919,No,80,3,2,2,2,3,No,Mostly,2,3,1,3,11,3
Josue,IDRD672,M,20,Divorced,Medical,3,Research & Development,Laboratory Technician,1,1,390,44,3358,9144,No,80,4,0,0,4,2,No,Mostly,4,3,1,3,15,2
Joy,IDSL159,F,41,Single,Life Sciences,4,Sales,Sales Executive,0,2,337,79,18662,22880,Yes,80,8,7,7,7,4,No,Sometimes,1,3,3,3,12,3
Joyce,IDRD084,F,43,Divorced,Life Sciences,2,Research & Development,Healthcare Representative,7,15,1471,40,10408,23674,No,80,9,7,0,0,5,No,Mostly,3,3,4,3,13,4
Juan,IDSL059,M,29,Divorced,Other,2,Sales,Sales Executive,1,14,1204,84,5369,7029,No,80,5,5,5,7,1,No,Sometimes,3,2,3,3,13,3
Juanita,IDRD244,F,41,Divorced,Life Sciences,4,Research & Development,Laboratory Technician,1,1,850,78,1118,11893,No,80,3,3,2,2,3,Yes,Sometimes,1,3,1,3,18,3
Jude,IDSL377,M,36,Divorced,Life Sciences,4,Sales,Sales Executive,2,19,1103,50,8866,16540,Yes,80,1,8,0,0,3,No,Sometimes,3,3,2,3,11,3
Judith,IDHR006,F,31,Married,Medical,1,Human Resources,Human Resources,1,1,1020,90,2403,14157,No,80,6,2,0,2,5,No,Sometimes,2,3,1,3,13,2
Judy,IDRD115,F,37,Divorced,Life Sciences,3,Research & Development,Laboratory Technician,1,4,1049,51,2441,2125,No,80,4,2,0,0,3,No,Sometimes,4,3,1,3,12,4
Julia,IDSL042,F,35,Married,Life Sciences,2,Sales,Sales Executive,1,10,580,62,5264,24995,No,80,15,7,4,4,3,No,No,2,4,3,3,11,2
Julian,IDSL102,M,28,Married,Life Sciences,1,Sales,Sales Executive,0,2,223,69,8667,4550,No,80,8,7,1,7,3,No,Mostly,3,2,2,3,17,3
Juliana,IDRD589,F,28,Married,Life Sciences,2,Research & Development,Healthcare Representative,1,14,1053,80,4934,6236,Yes,80,5,4,0,3,3,No,No,3,2,2,3,11,3
Julianna,IDRD711,F,41,Married,Medical,4,Research & Development,Healthcare Representative,8,3,534,80,1223,9333,No,80,2,2,2,2,3,No,No,4,3,3,3,13,3
Julianne,IDSL425,F,45,Married,Life Sciences,5,Sales,Sales Executive,5,6,111,64,7267,26850,No,80,7,7,0,0,2,No,Sometimes,1,3,3,3,12,4
Julie,IDSL036,F,21,Single,Life Sciences,3,Sales,Sales Representative,6,9,984,68,2587,9711,No,80,5,3,1,2,3,No,Sometimes,4,2,1,4,20,3
Juliet,IDSL431,F,42,Divorced,Marketing,3,Sales,Sales Executive,5,2,1007,74,6045,2137,No,80,5,3,1,3,3,No,Sometimes,2,3,2,3,11,3
Julio,IDRD579,M,32,Divorced,Life Sciences,2,Research & Development,Manufacturing Director,2,9,874,47,4813,17260,Yes,80,4,0,1,2,2,Yes,Mostly,1,2,2,3,13,3
Julius,IDHR037,M,28,Married,Life Sciences,3,Human Resources,Human Resources,1,1,743,43,7594,14065,Yes,80,3,2,0,2,2,No,Sometimes,3,3,3,3,13,3
June,IDRD252,F,31,Single,Life Sciences,3,Research & Development,Healthcare Representative,3,9,1142,89,5160,16357,No,80,9,0,2,0,2,No,Sometimes,4,4,2,3,18,3
Junior,IDSL363,M,46,Married,Life Sciences,3,Sales,Sales Executive,4,8,443,79,10377,25432,No,80,13,9,2,10,5,Yes,Sometimes,2,2,3,3,14,4
Justin,IDRD042,M,38,Divorced,Medical,4,Research & Development,Research Scientist,4,1,534,55,3878,19302,Yes,80,2,4,2,2,3,No,Sometimes,3,3,1,3,12,3
Justine,IDRD754,F,47,Married,Life Sciences,3,Research & Development,Research Scientist,2,10,1319,64,2774,18116,No,80,3,2,2,2,2,No,Sometimes,3,3,1,4,25,3
Kaden,IDRD580,M,35,Married,Life Sciences,5,Research & Development,Sales Representative,7,2,489,48,6515,7963,Yes,80,1,4,1,0,4,No,Sometimes,4,1,1,3,17,3
Kai,IDRD740,M,33,Single,Other,3,Research & Development,Healthcare Representative,1,27,211,51,6911,10602,No,80,10,8,1,8,2,No,No,3,1,2,3,13,3
Kaiden,IDRD794,M,25,Married,Life Sciences,1,Research & Development,Research Scientist,1,25,1495,68,3324,23145,Yes,80,3,2,1,2,4,No,Sometimes,3,3,1,3,13,4
Kaitlin,IDSL283,F,34,Single,Technical Degree,5,Sales,Sales Executive,1,15,1000,84,9449,23868,Yes,80,10,9,0,14,2,No,Mostly,2,3,3,3,14,3
Kaitlyn,IDRD293,F,35,Married,Medical,3,Research & Development,Laboratory Technician,1,2,111,92,2948,9628,No,80,10,6,5,17,3,No,Sometimes,4,2,1,3,11,3
Kaleb,IDRD496,M,42,Married,Life Sciences,4,Research & Development,Research Director,1,27,125,36,13406,19479,No,80,23,16,11,11,3,No,Sometimes,3,2,5,3,16,3
Kameron,IDRD884,M,21,Divorced,Medical,3,Research & Development,Research Scientist,7,23,687,87,2461,9867,No,80,3,2,0,3,2,No,Mostly,4,3,1,3,13,2
Kara,IDSL200,F,23,Single,Medical,3,Sales,Sales Representative,1,12,1353,54,1325,18153,Yes,80,1,0,0,2,2,Yes,Sometimes,1,3,1,3,13,3
Karen,IDRD030,F,38,Married,Life Sciences,3,Research & Development,Laboratory Technician,0,1,516,60,3887,16770,No,80,1,0,0,0,4,No,Sometimes,1,3,1,3,18,3
Kari,IDSL275,F,31,Married,Life Sciences,5,Sales,Sales Representative,3,1,1367,53,1212,9205,No,80,6,0,0,0,4,Yes,Sometimes,2,2,1,3,11,3
Karin,IDSL435,F,22,Married,Life Sciences,1,Sales,Sales Executive,1,14,1490,55,4587,21472,Yes,80,3,5,1,3,2,No,Sometimes,4,3,2,3,14,3
Karina,IDSL284,F,36,Married,Marketing,5,Sales,Sales Representative,1,10,1263,31,2893,20030,No,80,5,2,0,2,2,No,Sometimes,1,3,1,3,15,3
Karl,IDSL205,M,37,Married,Marketing,1,Sales,Sales Executive,6,27,1212,84,6218,19739,No,80,5,4,1,4,2,No,Sometimes,2,4,2,3,12,3
Karla,IDRD446,F,37,Single,Medical,2,Research & Development,Laboratory Technician,2,1,849,40,4496,16590,No,80,1,8,0,7,2,No,Sometimes,4,4,2,3,12,3
Kasey,IDRD846,F,35,Married,Life Sciences,3,Research & Development,Research Scientist,1,13,246,61,5459,6975,No,80,8,7,0,7,2,No,Sometimes,1,3,2,3,15,3
Kassandra,IDRD871,F,27,Single,Life Sciences,4,Research & Development,Research Scientist,1,4,770,43,4288,9407,No,80,4,4,1,2,2,Yes,Sometimes,2,3,2,3,16,3
Kate,IDRD454,F,34,Divorced,Life Sciences,2,Research & Development,Laboratory Technician,2,21,814,95,5790,14270,No,80,9,1,0,0,5,No,No,3,4,1,3,12,4
Katelyn,IDRD345,F,22,Divorced,Technical Degree,3,Research & Development,Laboratory Technician,1,19,370,44,2571,3490,No,80,5,3,1,2,3,No,Sometimes,3,3,1,3,16,4
Katelynn,IDRD922,F,36,Married,Medical,4,Research & Development,Research Director,4,14,345,61,10570,15025,No,80,8,4,0,0,0,No,No,1,2,3,3,12,2
Katharine,IDRD734,F,32,Married,Medical,4,Research & Development,Research Scientist,4,10,1411,76,1761,5101,No,80,1,0,0,0,2,No,Sometimes,4,3,2,3,12,3
Katherine,IDRD060,F,27,Married,Life Sciences,1,Research & Development,Research Scientist,1,15,131,50,2723,7973,Yes,80,2,2,2,2,2,No,Sometimes,3,3,1,3,13,3
Kathleen,IDRD054,F,51,Single,Medical,1,Research & Development,Research Director,6,1,1203,55,10096,8245,No,80,2,6,7,7,0,Yes,Mostly,3,3,3,4,25,2
Kathryn,IDSL043,F,25,Single,Marketing,3,Sales,Sales Representative,1,26,586,73,2890,16903,No,80,1,0,0,4,3,No,Sometimes,2,3,1,3,18,2
Kathy,IDRD144,F,42,Single,Medical,4,Research & Development,Research Director,3,24,323,68,7484,23275,No,80,9,2,2,1,6,No,No,2,3,3,3,11,2
Katie,IDSL085,F,31,Married,Medical,4,Sales,Human Resources,1,26,442,96,5442,2243,Yes,80,3,2,2,0,4,No,Sometimes,4,4,1,3,13,3
Katrina,IDSL195,F,44,Married,Marketing,4,Sales,Sales Executive,5,3,1305,55,4033,4998,No,80,0,0,0,0,3,No,Sometimes,4,3,2,3,18,3
Kay,IDRD425,F,41,Single,Life Sciences,3,Research & Development,Healthcare Representative,8,20,747,54,1118,23854,No,80,4,2,1,0,2,Yes,Sometimes,1,2,2,3,14,2
Kayden,IDSL315,M,45,Divorced,Life Sciences,4,Sales,Sales Executive,3,16,286,83,15308,12389,No,80,1,0,0,0,5,No,Mostly,3,3,4,3,11,3
Kayla,IDRD133,F,55,Married,Life Sciences,4,Research & Development,Manufacturing Director,4,1,449,90,19812,3652,No,80,1,0,0,0,2,No,Mostly,3,3,4,3,11,3
Kaylee,IDRD359,F,47,Single,Life Sciences,3,Research & Development,Manufacturing Director,6,1,1336,45,4411,26239,No,80,3,2,0,2,2,No,Sometimes,3,3,2,3,13,3
Kayleigh,IDRD894,F,21,Single,Medical,3,Research & Development,Research Scientist,1,11,1048,76,1466,14706,Yes,80,3,1,2,0,2,Yes,Sometimes,1,3,1,3,18,2
Keegan,IDRD819,M,51,Married,Medical,4,Research & Development,Healthcare Representative,3,2,351,95,8745,5911,No,80,7,7,2,7,2,No,Mostly,4,3,3,3,11,3
Keira,IDRD903,F,30,Married,Life Sciences,3,Research & Development,Manager,3,6,599,90,17931,12902,No,80,15,13,4,12,3,No,Sometimes,3,3,3,3,11,1
Keith,IDRD095,M,29,Single,Other,2,Research & Development,Laboratory Technician,1,5,594,69,1169,25752,Yes,80,1,0,0,0,2,Yes,Sometimes,4,3,1,3,11,3
Kelley,IDRD696,F,44,Married,Life Sciences,4,Research & Development,Laboratory Technician,9,1,1133,50,2116,3189,No,80,3,2,1,2,2,No,Mostly,3,3,1,3,13,2
Kelli,IDSL247,F,40,Married,Medical,3,Sales,Sales Executive,9,1,871,33,1129,14566,No,80,11,0,4,9,1,Yes,Sometimes,4,3,3,3,18,2
Kellie,IDRD635,F,33,Single,Life Sciences,3,Research & Development,Laboratory Technician,2,2,579,47,2389,6058,Yes,80,4,2,0,2,2,No,Sometimes,4,2,1,3,16,2
Kelly,IDRD087,F,29,Single,Medical,3,Research & Development,Laboratory Technician,1,18,498,94,2239,8092,Yes,80,8,2,0,1,3,No,Sometimes,4,4,1,3,13,3
Kelly,IDRD466,M,34,Married,Life Sciences,2,Research & Development,Laboratory Technician,9,15,859,66,2966,5245,No,80,5,1,0,2,2,No,Sometimes,3,4,1,4,24,3
Kelsey,IDRD310,F,31,Divorced,Medical,3,Research & Development,Research Scientist,3,9,134,33,3008,21914,Yes,80,9,7,0,7,2,No,Sometimes,4,3,1,3,13,4
Kelvin,IDRD649,M,27,Married,Life Sciences,3,Research & Development,Research Scientist,1,3,277,87,2206,19312,No,80,2,2,2,2,2,No,Sometimes,2,2,1,3,14,2
Ken,IDRD878,M,29,Married,Technical Degree,1,Research & Development,Laboratory Technician,1,17,1180,54,2146,2243,Yes,80,1,7,0,0,2,No,Sometimes,3,2,1,3,15,3
Kendall,IDRD587,F,41,Single,Life Sciences,2,Research & Development,Laboratory Technician,0,5,649,78,5849,10164,Yes,80,10,7,0,7,2,Yes,Mostly,1,2,2,3,17,3
Kendall,IDRD837,M,26,Single,Medical,3,Research & Development,Healthcare Representative,1,7,661,59,4664,17298,No,80,4,4,7,1,6,Yes,Sometimes,4,3,2,3,19,4
Kendra,IDSL210,F,51,Married,Marketing,3,Sales,Manager,9,7,409,65,19783,25924,Yes,80,11,7,5,7,3,Yes,Mostly,3,3,3,3,12,2
Kendrick,IDRD940,M,30,Divorced,Technical Degree,4,Research & Development,Healthcare Representative,4,16,1397,62,6941,18940,Yes,80,10,8,7,8,2,No,Sometimes,4,2,2,3,14,3
Kennedy,IDRD521,F,55,Divorced,Medical,3,Research & Development,Research Scientist,1,16,1219,31,4704,7062,Yes,80,11,0,1,9,2,Yes,Sometimes,3,3,2,3,17,3
Kenneth,IDSL007,M,31,Divorced,Technical Degree,3,Sales,Sales Executive,4,3,613,41,4338,11498,No,80,8,4,3,1,3,No,Mostly,3,3,2,3,16,2
Kenny,IDRD654,M,59,Married,Life Sciences,3,Research & Development,Research Scientist,3,21,1415,87,2072,14638,Yes,80,1,0,0,0,2,Yes,Mostly,4,3,1,3,16,3
Kent,IDSL260,M,35,Divorced,Medical,4,Sales,Sales Executive,1,6,326,34,4741,14480,No,80,4,5,1,7,3,No,Sometimes,3,3,2,3,19,3
Keri,IDRD851,F,28,Divorced,Medical,2,Research & Development,Research Scientist,1,1,1481,46,4630,11359,No,80,2,2,1,2,2,No,Sometimes,4,3,1,3,12,3
Kerri,IDRD774,F,50,Married,Life Sciences,1,Research & Development,Laboratory Technician,1,2,979,73,3449,3552,Yes,80,0,6,0,4,3,No,Mostly,3,3,1,3,15,2
Kerry,IDRD636,F,41,Single,Life Sciences,4,Research & Development,Laboratory Technician,8,16,822,57,4366,20256,Yes,80,1,0,0,0,2,Yes,Sometimes,1,3,1,3,16,4
Kerry,IDRD648,M,26,Married,Technical Degree,2,Research & Development,Laboratory Technician,1,9,366,80,3857,17358,No,80,4,2,0,3,3,No,Sometimes,3,3,1,3,11,3
Kevin,IDRD022,M,28,Married,Medical,3,Research & Development,Research Scientist,1,15,831,49,4994,24115,No,80,5,4,0,3,2,No,Sometimes,1,3,1,3,14,3
Khloe,IDRD785,F,32,Married,Technical Degree,1,Research & Development,Healthcare Representative,1,7,1109,34,1118,25279,No,80,10,9,3,8,2,No,Mostly,2,3,2,4,20,3
Kiara,IDRD671,F,49,Married,Life Sciences,4,Research & Development,Research Director,2,4,492,85,17528,14761,No,80,7,7,1,7,2,No,Sometimes,2,2,5,3,12,2
Kim,IDRD265,F,25,Divorced,Life Sciences,2,Research & Development,Laboratory Technician,0,12,556,63,5648,23035,No,80,3,2,1,2,2,No,No,1,2,1,3,11,3
Kim,IDRD820,M,26,Single,Medical,3,Research & Development,Research Scientist,1,4,430,51,2056,10035,No,80,4,2,2,3,3,Yes,Mostly,2,3,1,3,13,2
Kimberley,IDRD739,F,49,Married,Medical,3,Research & Development,Healthcare Representative,1,4,1015,34,13487,25515,No,80,14,16,15,13,3,No,Mostly,1,3,3,3,13,2
Kimberly,IDSL018,F,35,Married,Life Sciences,3,Sales,Sales Executive,7,2,349,96,6047,16586,No,80,4,2,0,1,4,Yes,Sometimes,2,1,2,3,17,3
Kira,IDRD801,F,49,Married,Medical,4,Research & Development,Research Scientist,1,2,107,49,4406,10899,No,80,2,2,2,2,6,No,Sometimes,4,3,1,3,17,3
Kirk,IDRD530,M,42,Divorced,Life Sciences,3,Research & Development,Laboratory Technician,5,8,938,59,6339,12973,Yes,80,8,7,1,7,2,No,Mostly,1,4,2,3,13,3
Kirsten,IDRD600,F,25,Married,Life Sciences,1,Research & Development,Research Scientist,1,26,1246,81,2263,15533,No,80,1,0,0,0,0,No,Mostly,4,2,1,4,20,4
Krista,IDHR035,F,31,Single,Life Sciences,4,Human Resources,Manufacturing Director,4,7,476,40,14015,13618,No,80,4,7,0,2,2,No,Sometimes,3,2,3,4,25,2
Kristen,IDRD217,F,40,Divorced,Life Sciences,3,Research & Development,Healthcare Representative,4,9,522,69,11875,9553,No,80,5,2,0,2,2,No,Sometimes,4,3,4,3,11,4
Kristi,IDSL243,F,51,Divorced,Marketing,3,Sales,Sales Executive,4,1,657,59,10629,22646,No,80,21,8,5,10,2,No,No,2,3,3,3,12,4
Kristie,IDRD765,F,28,Divorced,Medical,1,Research & Development,Research Scientist,6,6,369,66,1394,3681,Yes,80,1,0,0,0,3,No,Mostly,4,3,1,3,15,3
Kristin,IDRD253,F,35,Married,Life Sciences,1,Research & Development,Manufacturing Director,1,2,723,60,3491,26053,No,80,14,6,1,7,0,Yes,Sometimes,4,1,3,3,12,2
Kristina,IDRD320,F,41,Married,Life Sciences,3,Research & Development,Sales Executive,3,8,1479,63,13664,5687,No,80,20,16,13,8,2,No,Sometimes,1,2,3,3,15,2
Kristine,IDRD460,F,33,Divorced,Life Sciences,3,Research & Development,Research Director,1,9,610,73,10251,26273,No,80,5,1,1,3,3,No,Mostly,3,3,3,3,12,2
Kristopher,IDRD551,M,44,Married,Medical,2,Research & Development,Research Director,6,5,260,95,13323,18178,No,80,7,4,0,6,3,No,Sometimes,1,3,5,3,11,2
Kristy,IDRD504,F,27,Single,Life Sciences,1,Research & Development,Laboratory Technician,1,9,596,76,2284,13982,No,80,1,0,0,0,4,Yes,Sometimes,2,1,1,3,16,1
Krystal,IDSL229,F,55,Married,Life Sciences,4,Sales,Sales Executive,6,4,438,97,1200,21953,No,80,5,4,1,2,2,No,Sometimes,4,3,3,3,14,3
Kurt,IDHR031,M,45,Divorced,Life Sciences,4,Human Resources,Sales Executive,2,7,231,80,19210,13413,No,80,5,1,0,7,2,No,No,1,3,3,3,11,3
Kyla,IDRD741,F,51,Single,Other,4,Research & Development,Research Scientist,1,9,703,95,2375,10293,No,80,6,5,2,3,3,No,Mostly,4,3,1,3,12,3
Kyle,IDRD080,M,34,Married,Life Sciences,5,Research & Development,Manufacturing Director,4,15,1150,94,7938,23825,No,80,9,0,0,0,2,No,No,1,3,3,3,18,3
Kylee,IDHR048,F,51,Married,Life Sciences,1,Human Resources,Manager,3,18,543,52,16451,26914,Yes,80,1,0,0,0,4,No,No,4,4,5,3,14,2
Kyler,IDRD915,M,43,Divorced,Life Sciences,4,Research & Development,Healthcare Representative,4,9,375,91,10530,2137,No,80,7,3,0,1,2,No,Sometimes,1,2,5,3,13,4
Kylie,IDSL188,F,38,Married,Life Sciences,2,Sales,Sales Executive,1,4,1439,69,9432,9616,No,80,8,7,0,1,2,No,Sometimes,4,3,3,3,18,1
Kyra,IDSL386,F,31,Divorced,Marketing,5,Sales,Sales Executive,4,1,658,72,5074,17823,Yes,80,7,7,7,7,2,Yes,Sometimes,4,3,2,3,13,2
Lacey,IDRD608,F,34,Single,Technical Degree,4,Research & Development,Research Scientist,3,9,1286,30,2379,19978,No,80,2,2,1,0,3,No,Mostly,4,1,1,3,16,3
Laila,IDRD822,F,51,Single,Medical,1,Research & Development,Manufacturing Director,3,1,1007,92,5459,2269,No,80,1,0,0,0,2,Yes,Sometimes,1,2,2,4,21,2
Lamar,IDRD858,M,32,Married,Other,3,Research & Development,Research Director,1,16,1297,81,15493,24115,No,80,22,8,15,11,3,No,Sometimes,4,3,3,3,13,2
Lana,IDHR047,F,32,Single,Medical,4,Human Resources,Laboratory Technician,1,9,111,52,3985,11193,Yes,80,0,0,0,8,5,No,Sometimes,3,3,1,3,15,3
Lance,IDSL196,M,36,Single,Medical,1,Sales,Sales Executive,1,8,571,35,17992,26862,No,80,18,7,1,9,3,No,Sometimes,2,3,3,3,15,2
Landon,IDRD302,M,29,Married,Life Sciences,3,Research & Development,Laboratory Technician,1,4,887,93,3211,8307,No,80,1,7,1,0,2,No,Sometimes,3,3,1,3,13,1
Lane,IDHR057,M,28,Single,Medical,3,Human Resources,Sales Representative,1,5,177,59,2191,13983,No,80,3,2,0,2,3,No,Sometimes,3,3,1,3,11,3
Lara,IDRD935,F,38,Single,Life Sciences,4,Research & Development,Research Scientist,0,8,1495,40,4485,9960,No,80,5,2,1,3,5,No,Mostly,3,3,2,3,12,3
Larry,IDRD045,M,18,Divorced,Life Sciences,2,Research & Development,Research Scientist,1,8,480,54,2071,26933,No,80,4,1,1,2,0,No,Mostly,3,3,1,3,11,3
Latasha,IDRD889,F,36,Married,Life Sciences,3,Research & Development,Laboratory Technician,3,2,504,42,2140,6059,No,80,2,2,1,2,2,No,Sometimes,3,3,1,4,23,3
Latoya,IDRD662,F,32,Divorced,Medical,3,Research & Development,Laboratory Technician,0,1,1222,85,3917,24351,No,80,5,2,0,4,5,No,Sometimes,2,3,1,4,25,3
Laura,IDSL019,F,52,Married,Medical,3,Sales,Manager,2,21,126,96,19271,15740,No,80,32,9,8,10,4,No,Mostly,3,3,4,3,14,2
Laurel,IDSL328,F,42,Divorced,Medical,3,Sales,Sales Executive,6,24,1127,70,10080,21825,Yes,80,5,3,0,1,5,No,Sometimes,2,1,3,4,21,3
Lauren,IDRD085,F,45,Divorced,Medical,3,Research & Development,Healthcare Representative,3,2,919,68,6767,2125,No,80,9,3,9,0,2,No,Sometimes,3,3,2,4,23,3
Laurence,IDRD760,M,50,Married,Life Sciences,2,Research & Development,Manufacturing Director,1,1,1229,33,7419,6636,No,80,0,0,0,0,4,No,Mostly,1,3,2,3,14,1
Laurie,IDRD288,F,30,Divorced,Life Sciences,2,Research & Development,Laboratory Technician,1,1,910,44,2479,19369,No,80,8,4,0,0,2,No,Sometimes,4,3,1,4,23,3
Laverne,IDRD745,F,34,Single,Life Sciences,4,Research & Development,Research Scientist,1,7,184,30,2108,20418,No,80,19,7,2,0,1,No,Sometimes,4,3,2,3,13,2
Lawrence,IDRD090,M,37,Married,Medical,2,Research & Development,Research Scientist,4,1,144,40,2753,14897,No,80,1,0,0,0,3,No,Sometimes,2,2,2,3,12,2
Layla,IDSL226,F,36,Single,Other,4,Sales,Sales Executive,1,1,353,62,6158,14714,Yes,80,10,4,0,1,3,Yes,Sometimes,3,2,2,3,14,3
Lea,IDSL421,F,35,Divorced,Life Sciences,2,Sales,Sales Executive,3,20,1295,39,5056,23709,Yes,80,3,2,0,2,0,No,Sometimes,4,3,2,4,25,3
Leah,IDRD214,F,30,Married,Technical Degree,3,Research & Development,Research Scientist,3,3,1482,60,2382,16570,No,80,5,0,0,4,4,No,Sometimes,3,4,1,3,13,3
Leanne,IDSL389,F,21,Single,Life Sciences,4,Sales,Sales Representative,1,1,1376,49,2682,15105,No,80,5,3,0,2,5,Yes,Mostly,4,3,1,3,12,3
Lee,IDRD570,M,56,Single,Marketing,3,Sales,Manager,4,1,1361,48,18499,13792,Yes,80,33,6,5,8,3,Yes,Mostly,4,1,5,4,21,2
Lee,IDSL094,F,42,Married,Life Sciences,3,Research & Development,Manager,6,4,111,95,19724,25221,No,80,1,0,0,0,2,No,No,3,4,4,3,15,4
Leigh,IDRD756,F,58,Divorced,Life Sciences,2,Research & Development,Manufacturing Director,9,8,1180,88,6332,23454,No,80,1,0,0,0,2,No,Sometimes,3,3,2,3,11,3
Leila,IDRD698,F,36,Divorced,Medical,3,Research & Development,Manufacturing Director,9,13,680,37,7376,23035,Yes,80,3,2,1,3,0,No,Mostly,2,3,2,3,14,3
Leilani,IDRD883,F,44,Single,Medical,3,Research & Development,Research Scientist,3,11,1041,94,1441,16773,Yes,80,6,2,0,2,4,No,Sometimes,4,3,2,3,14,2
Lela,IDRD750,F,29,Single,Life Sciences,2,Research & Development,Laboratory Technician,1,4,791,62,4266,17125,Yes,80,6,2,0,3,3,No,No,4,3,2,4,22,1
Leland,IDRD627,M,39,Divorced,Medical,4,Research & Development,Research Scientist,2,4,228,80,5767,14744,No,80,3,2,5,2,3,No,Sometimes,3,3,2,3,19,4
Lena,IDSL158,F,18,Single,Marketing,4,Sales,Sales Executive,1,10,1251,48,4964,18798,No,80,16,8,3,7,2,Yes,Mostly,2,3,2,3,13,3
Lenora,IDRD835,F,46,Married,Life Sciences,5,Research & Development,Manager,7,9,1257,40,17404,13595,Yes,80,7,3,3,7,2,No,Mostly,1,3,4,3,18,4
Leo,IDRD243,M,29,Single,Technical Degree,3,Research & Development,Laboratory Technician,0,2,554,80,2812,18482,Yes,80,0,0,0,0,2,No,Mostly,4,2,1,3,12,3
Leon,IDRD290,M,38,Single,Technical Degree,4,Research & Development,Research Scientist,5,13,1345,78,2392,7266,Yes,80,1,0,0,0,6,Yes,Sometimes,4,3,1,3,16,1
Leona,IDRD393,F,54,Single,Life Sciences,4,Research & Development,Healthcare Representative,1,1,543,52,13898,8795,No,80,10,7,4,9,2,No,Mostly,2,2,4,3,13,2
Leonard,IDRD160,M,21,Divorced,Medical,1,Research & Development,Laboratory Technician,1,11,1100,95,2317,17594,No,80,8,7,1,8,2,No,Mostly,4,3,1,3,12,2
Leonardo,IDRD546,M,27,Single,Life Sciences,1,Research & Development,Healthcare Representative,1,8,465,89,9203,13731,No,80,6,3,1,3,3,No,No,4,2,3,4,22,3
Leroy,IDHR016,M,26,Divorced,Medical,2,Human Resources,Human Resources,1,9,117,87,4959,3002,No,80,7,0,7,7,2,No,Sometimes,1,2,1,4,21,2
Lesley,IDSL380,F,29,Married,Marketing,1,Sales,Sales Executive,7,29,279,60,4657,16195,No,80,2,2,2,2,3,No,Sometimes,3,3,2,4,22,3
Leslie,IDRD185,F,51,Divorced,Life Sciences,4,Research & Development,Manager,7,8,1490,64,19802,22900,No,80,21,8,4,8,2,No,Sometimes,4,3,5,3,16,3
Leslie,IDSL184,M,27,Married,Medical,3,Sales,Sales Representative,0,26,256,69,2577,7924,Yes,80,3,2,2,2,2,No,Sometimes,1,2,1,3,11,2
Lester,IDSL171,M,36,Divorced,Life Sciences,4,Sales,Sales Executive,2,8,1373,32,6290,23569,No,80,7,7,7,7,3,No,Mostly,2,3,2,3,11,3
Leticia,IDRD735,F,56,Married,Life Sciences,4,Research & Development,Healthcare Representative,1,8,1389,45,19538,15958,No,80,16,15,15,7,2,No,Mostly,2,2,3,3,14,3
Levi,IDSL147,M,59,Single,Marketing,2,Sales,Sales Executive,7,1,415,32,4939,3582,No,80,0,0,7,8,2,No,Mostly,2,2,2,3,11,3
Lewis,IDRD314,M,30,Single,Life Sciences,4,Research & Development,Research Scientist,1,21,1260,44,2108,26735,No,80,5,4,0,2,2,No,Sometimes,1,3,1,3,13,3
Liam,IDRD224,M,29,Married,Medical,2,Research & Development,Laboratory Technician,1,18,927,71,3175,26933,Yes,80,1,0,0,0,2,Yes,Sometimes,4,3,1,3,18,3
Lila,IDRD550,F,37,Married,Life Sciences,3,Research & Development,Healthcare Representative,7,29,369,78,19717,26914,No,80,2,2,0,2,2,Yes,Sometimes,2,1,3,3,15,3
Liliana,IDRD609,F,22,Divorced,Medical,3,Research & Development,Research Scientist,1,5,550,94,4305,23256,Yes,80,3,2,2,2,3,Yes,Mostly,2,2,1,3,13,3
Lillian,IDRD100,F,33,Married,Medical,1,Research & Development,Healthcare Representative,8,2,815,31,8918,24271,Yes,80,1,0,0,0,3,No,No,3,3,2,3,13,3
Lillie,IDSL146,F,45,Married,Medical,3,Sales,Sales Executive,2,20,1423,88,17846,15805,No,80,33,2,4,2,2,No,Sometimes,4,3,4,3,11,3
Lilly,IDSL293,F,53,Divorced,Marketing,3,Sales,Sales Executive,7,18,1312,44,10231,17334,Yes,80,31,7,14,7,3,Yes,No,1,2,4,3,11,2
Lily,IDRD311,F,55,Married,Life Sciences,3,Research & Development,Manufacturing Director,1,1,563,67,6399,2137,No,80,20,8,10,8,3,No,Mostly,2,3,2,4,24,3
Lincoln,IDRD558,M,29,Married,Life Sciences,3,Research & Development,Healthcare Representative,0,23,1492,36,8682,13077,Yes,80,8,0,1,0,2,No,Sometimes,2,3,2,3,11,3
Linda,IDRD015,F,26,Divorced,Life Sciences,2,Research & Development,Manufacturing Director,0,1,911,51,2346,14211,No,80,5,4,1,3,2,Yes,Sometimes,1,2,2,3,17,3
Lindsay,IDSL152,F,28,Divorced,Other,2,Sales,Sales Executive,9,23,654,61,5517,12447,Yes,80,2,2,2,2,2,Yes,Mostly,3,3,2,3,19,3
